{'test': 0, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 1, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 2, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 3, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 4, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 5, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 6, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 7, 'deepzono': 0.01, 'deepcegar': 0.011}
{'test': 8, 'deepzono': 0.007, 'deepcegar': 0.008}
{'test': 9, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 10, 'deepzono': 0.022, 'deepcegar': 0.023}
{'test': 11, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 12, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 13, 'deepzono': 0.02, 'deepcegar': 0.02}
{'test': 14, 'deepzono': 0.011, 'deepcegar': 0.013}
{'test': 15, 'deepzono': 0.016, 'deepcegar': 0.017}
{'test': 16, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 17, 'deepzono': 0.019, 'deepcegar': 0.02}
{'test': 18, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 19, 'deepzono': 0.014, 'deepcegar': 0.015}
{'test': 20, 'deepzono': 0.004, 'deepcegar': 0.004}
{'test': 21, 'deepzono': 0.011, 'deepcegar': 0.012}
{'test': 22, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 23, 'deepzono': 0.017, 'deepcegar': 0.018}
{'test': 24, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 25, 'deepzono': 0.025, 'deepcegar': 0.027}
{'test': 26, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 27, 'deepzono': 0.015, 'deepcegar': 0.015}
{'test': 28, 'deepzono': 0.021, 'deepcegar': 0.021}
{'test': 29, 'deepzono': 0.01, 'deepcegar': 0.011}
