{'test': 0, 'deepinput': 0.016, 'deepzono': 0.016}
{'test': 1, 'deepinput': 0.013, 'deepzono': 0.013}
{'test': 2, 'deepinput': 0.009, 'deepzono': 0.009}
{'test': 3, 'deepinput': 0.014, 'deepzono': 0.013}
{'test': 4, 'deepinput': 0.011, 'deepzono': 0.011}
{'test': 5, 'deepinput': 0.012, 'deepzono': 0.012}
{'test': 6, 'deepinput': 0.013, 'deepzono': 0.013}
{'test': 7, 'deepinput': 0.01, 'deepzono': 0.01}
{'test': 8, 'deepinput': 0.008, 'deepzono': 0.007}
{'test': 9, 'deepinput': 0.014, 'deepzono': 0.014}
{'test': 10, 'deepinput': 0.022, 'deepzono': 0.022}
{'test': 11, 'deepinput': 0.012, 'deepzono': 0.012}
{'test': 12, 'deepinput': 0.01, 'deepzono': 0.01}
{'test': 13, 'deepinput': 0.021, 'deepzono': 0.02}
{'test': 14, 'deepinput': 0.012, 'deepzono': 0.011}
{'test': 15, 'deepinput': 0.016, 'deepzono': 0.016}
{'test': 16, 'deepinput': 0.013, 'deepzono': 0.013}
{'test': 17, 'deepinput': 0.019, 'deepzono': 0.019}
{'test': 18, 'deepinput': 0.01, 'deepzono': 0.01}
{'test': 19, 'deepinput': 0.014, 'deepzono': 0.014}
{'test': 20, 'deepinput': 0.004, 'deepzono': 0.004}
{'test': 21, 'deepinput': 0.011, 'deepzono': 0.011}
{'test': 22, 'deepinput': 0.011, 'deepzono': 0.011}
{'test': 23, 'deepinput': 0.017, 'deepzono': 0.017}
{'test': 24, 'deepinput': 0.009, 'deepzono': 0.009}
{'test': 25, 'deepinput': 0.025, 'deepzono': 0.025}
{'test': 26, 'deepinput': 0.013, 'deepzono': 0.012}
{'test': 27, 'deepinput': 0.015, 'deepzono': 0.015}
{'test': 28, 'deepinput': 0.021, 'deepzono': 0.021}
{'test': 29, 'deepinput': 0.01, 'deepzono': 0.01}
{'test': 30, 'deepinput': 0.016, 'deepzono': 0.016}
{'test': 31, 'deepinput': 0.009, 'deepzono': 0.009}
{'test': 32, 'deepinput': 0.015, 'deepzono': 0.015}
{'test': 33, 'deepinput': 0.0, 'deepzono': 0.0}
{'test': 34, 'deepinput': 0.02, 'deepzono': 0.019}
{'test': 35, 'deepinput': 0.015, 'deepzono': 0.015}
{'test': 36, 'deepinput': 0.017, 'deepzono': 0.017}
{'test': 37, 'deepinput': 0.012, 'deepzono': 0.012}
{'test': 38, 'deepinput': 0.009, 'deepzono': 0.009}
