# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 10:23:54
# end time:2020-09-10 10:31:57
{'test': 0, 'deepzono': 0.011, 'deepcegar': 0.012}
{'test': 1, 'deepzono': 0.02, 'deepcegar': 0.02}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 09:14:36
# end time:2020-09-10 09:22:48
{'test': 2, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 3, 'deepzono': 0.014, 'deepcegar': 0.015}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 09:14:38
# end time:2020-09-10 09:26:15
{'test': 4, 'deepzono': 0.009, 'deepcegar': 0.01}
{'test': 5, 'deepzono': 0.012, 'deepcegar': 0.013}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 10:24:06
# end time:2020-09-10 10:30:04
{'test': 6, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 7, 'deepzono': 0.01, 'deepcegar': 0.01}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 08:53:04
# end time:2020-09-10 09:01:46
{'test': 8, 'deepzono': 0.005, 'deepcegar': 0.006}
{'test': 9, 'deepzono': 0.007, 'deepcegar': 0.007}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 10:40:21
# end time:2020-09-10 10:47:29
{'test': 10, 'deepzono': 0.024, 'deepcegar': 0.024}
{'test': 11, 'deepzono': 0.016, 'deepcegar': 0.017}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 09:15:07
# end time:2020-09-10 09:20:54
{'test': 12, 'deepzono': 0.015, 'deepcegar': 0.015}
{'test': 13, 'deepzono': 0.021, 'deepcegar': 0.021}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 09:15:10
# end time:2020-09-10 09:20:53
{'test': 14, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 15, 'deepzono': 0.014, 'deepcegar': 0.014}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 09:15:12
# end time:2020-09-10 09:20:27
{'test': 16, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 17, 'deepzono': 0.013, 'deepcegar': 0.013}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 09:15:14
# end time:2020-09-10 09:20:55
{'test': 18, 'deepzono': 0.006, 'deepcegar': 0.006}
{'test': 19, 'deepzono': 0.015, 'deepcegar': 0.015}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 17:06:09
# end time:2020-09-10 17:12:46
{'test': 20, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 21, 'deepzono': 0.011, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 16:38:39
# end time:2020-09-10 16:47:33
{'test': 22, 'deepzono': 0.015, 'deepcegar': 0.015}
{'test': 23, 'deepzono': 0.017, 'deepcegar': 0.017}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 17:52:52
# end time:2020-09-10 18:04:17
{'test': 24, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 25, 'deepzono': 0.023, 'deepcegar': 0.024}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 16:38:39
# end time:2020-09-10 16:46:59
{'test': 26, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 27, 'deepzono': 0.018, 'deepcegar': 0.018}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 16:38:39
# end time:2020-09-10 16:47:38
{'test': 28, 'deepzono': 0.025, 'deepcegar': 0.025}
{'test': 29, 'deepzono': 0.008, 'deepcegar': 0.008}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 16:38:39
# end time:2020-09-10 16:47:09
{'test': 30, 'deepzono': 0.024, 'deepcegar': 0.024}
{'test': 31, 'deepzono': 0.007, 'deepcegar': 0.007}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 16:38:39
# end time:2020-09-10 16:45:01
{'test': 32, 'deepzono': 0.025, 'deepcegar': 0.025}
{'test': 33, 'deepzono': 0.0, 'deepcegar': 0.0}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 16:38:39
# end time:2020-09-10 16:47:33
{'test': 34, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 35, 'deepzono': 0.022, 'deepcegar': 0.022}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 17:06:30
# end time:2020-09-10 17:16:34
{'test': 36, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 37, 'deepzono': 0.009, 'deepcegar': 0.01}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 22:55:40
# end time:2020-09-10 23:00:30
{'test': 38, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 39, 'deepzono': 0.012, 'deepcegar': 0.012}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 23:47:28
# end time:2020-09-10 23:56:43
{'test': 40, 'deepzono': 0.008, 'deepcegar': 0.008}
{'test': 41, 'deepzono': 0.01, 'deepcegar': 0.01}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 23:47:28
# end time:2020-09-10 23:56:42
{'test': 42, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 43, 'deepzono': 0.014, 'deepcegar': 0.014}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 23:47:28
# end time:2020-09-10 23:56:32
{'test': 44, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 45, 'deepzono': 0.008, 'deepcegar': 0.008}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 23:47:28
# end time:2020-09-11 00:03:19
{'test': 46, 'deepzono': 0.005, 'deepcegar': 0.006}
{'test': 47, 'deepzono': 0.018, 'deepcegar': 0.018}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-11 08:23:08
# end time:2020-09-11 08:33:59
{'test': 48, 'deepzono': 0.02, 'deepcegar': 0.021}
{'test': 49, 'deepzono': 0.012, 'deepcegar': 0.013}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 23:47:28
# end time:2020-09-10 23:56:44
{'test': 50, 'deepzono': 0.015, 'deepcegar': 0.015}
{'test': 51, 'deepzono': 0.02, 'deepcegar': 0.02}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 23:47:28
# end time:2020-09-10 23:56:44
{'test': 52, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 53, 'deepzono': 0.014, 'deepcegar': 0.014}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 23:47:28
# end time:2020-09-10 23:56:32
{'test': 54, 'deepzono': 0.023, 'deepcegar': 0.023}
{'test': 55, 'deepzono': 0.019, 'deepcegar': 0.019}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 23:47:28
# end time:2020-09-10 23:56:30
{'test': 56, 'deepzono': 0.019, 'deepcegar': 0.019}
{'test': 57, 'deepzono': 0.01, 'deepcegar': 0.01}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-10 23:47:28
# end time:2020-09-10 23:56:44
{'test': 58, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 59, 'deepzono': 0.008, 'deepcegar': 0.008}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-05 10:19:00
# end time:2020-09-05 12:29:14
{'test': 60, 'deepzono': 0.022, 'deepcegar': 0.023}
{'test': 61, 'deepzono': 0.0, 'deepcegar': 0.0}
{'test': 62, 'deepzono': 0.006, 'deepcegar': 0.007}
{'test': 63, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 64, 'deepzono': 0.019, 'deepcegar': 0.02}
{'test': 65, 'deepzono': 0.004, 'deepcegar': 0.005}
{'test': 66, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 67, 'deepzono': 0.015, 'deepcegar': 0.016}
{'test': 68, 'deepzono': 0.026, 'deepcegar': 0.027}
{'test': 69, 'deepzono': 0.02, 'deepcegar': 0.021}
{'test': 70, 'deepzono': 0.016, 'deepcegar': 0.017}
{'test': 71, 'deepzono': 0.038, 'deepcegar': 0.039}
{'test': 72, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 73, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 74, 'deepzono': 0.009, 'deepcegar': 0.01}
{'test': 75, 'deepzono': 0.016, 'deepcegar': 0.017}
{'test': 76, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 77, 'deepzono': 0.015, 'deepcegar': 0.016}
{'test': 78, 'deepzono': 0.008, 'deepcegar': 0.008}
{'test': 79, 'deepzono': 0.016, 'deepcegar': 0.017}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-12 16:15:49
# end time:2020-09-12 16:22:38
{'test': 80, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 81, 'deepzono': 0.014, 'deepcegar': 0.014}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-12 16:15:49
# end time:2020-09-12 16:25:08
{'test': 82, 'deepzono': 0.032, 'deepcegar': 0.032}
{'test': 83, 'deepzono': 0.013, 'deepcegar': 0.014}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-12 16:15:49
# end time:2020-09-12 16:29:47
{'test': 84, 'deepzono': 0.015, 'deepcegar': 0.016}
{'test': 85, 'deepzono': 0.017, 'deepcegar': 0.018}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-12 16:15:49
# end time:2020-09-12 16:22:40
{'test': 86, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 87, 'deepzono': 0.017, 'deepcegar': 0.017}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-12 16:50:47
# end time:2020-09-12 17:00:00
{'test': 88, 'deepzono': 0.023, 'deepcegar': 0.024}
{'test': 89, 'deepzono': 0.009, 'deepcegar': 0.01}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-12 16:15:49
# end time:2020-09-12 16:22:31
{'test': 90, 'deepzono': 0.015, 'deepcegar': 0.015}
{'test': 91, 'deepzono': 0.018, 'deepcegar': 0.018}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-12 16:15:49
# end time:2020-09-12 16:22:33
{'test': 92, 'deepzono': 0.005, 'deepcegar': 0.005}
{'test': 93, 'deepzono': 0.011, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-12 17:44:01
# end time:2020-09-12 17:51:43
{'test': 94, 'deepzono': 0.01, 'deepcegar': 0.011}
{'test': 95, 'deepzono': 0.011, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-12 16:15:49
# end time:2020-09-12 16:20:14
{'test': 96, 'deepzono': 0.0, 'deepcegar': 0.0}
{'test': 97, 'deepzono': 0.015, 'deepcegar': 0.015}
# model:../../TestNets/pldi/mnist_relu_6_100.tf
# start time:2020-09-12 21:41:12
# end time:2020-09-12 21:45:08
{'test': 98, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 99, 'deepzono': 0.02, 'deepcegar': 0.02}
