{'test': 0, 'deepzono': 0.022, 'deepcegar': 0.023}
{'test': 1, 'deepzono': 0.03, 'deepcegar': 0.03}
{'test': 2, 'deepzono': 0.011, 'deepcegar': 0.015}
{'test': 3, 'deepzono': 0.027, 'deepcegar': 0.028}
{'test': 4, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 5, 'deepzono': 0.015, 'deepcegar': 0.021}
{'test': 6, 'deepzono': 0.009, 'deepcegar': 0.011}
{'test': 7, 'deepzono': 0.015, 'deepcegar': 0.017}
{'test': 8, 'deepzono': 0.008, 'deepcegar': 0.009}
{'test': 9, 'deepzono': 0.022, 'deepcegar': 0.027}
{'test': 10, 'deepzono': 0.025, 'deepcegar': 0.027}
{'test': 11, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 12, 'deepzono': 0.019, 'deepcegar': 0.021}
{'test': 13, 'deepzono': 0.033, 'deepcegar': 0.035}
{'test': 14, 'deepzono': 0.019, 'deepcegar': 0.023}
{'test': 15, 'deepzono': 0.021, 'deepcegar': 0.021}
{'test': 16, 'deepzono': 0.025, 'deepcegar': 0.027}
{'test': 17, 'deepzono': 0.02, 'deepcegar': 0.021}
{'test': 18, 'deepzono': 0.003, 'deepcegar': 0.004}
{'test': 19, 'deepzono': 0.016, 'deepcegar': 0.018}
{'test': 20, 'deepzono': 0.015, 'deepcegar': 0.019}
{'test': 21, 'deepzono': 0.018, 'deepcegar': 0.021}
{'test': 22, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 23, 'deepzono': 0.04, 'deepcegar': 0.041}
{'test': 24, 'deepzono': 0.009, 'deepcegar': 0.01}
{'test': 25, 'deepzono': 0.039, 'deepcegar': 0.04}
{'test': 26, 'deepzono': 0.017, 'deepcegar': 0.022}
{'test': 27, 'deepzono': 0.017, 'deepcegar': 0.019}
{'test': 28, 'deepzono': 0.02, 'deepcegar': 0.021}
{'test': 29, 'deepzono': 0.015, 'deepcegar': 0.02}
{'test': 30, 'deepzono': 0.026, 'deepcegar': 0.035}
{'test': 31, 'deepzono': 0.012, 'deepcegar': 0.017}
{'test': 32, 'deepzono': 0.027, 'deepcegar': 0.031}
{'test': 33, 'deepzono': 0.003, 'deepcegar': 0.003}
{'test': 34, 'deepzono': 0.023, 'deepcegar': 0.025}
{'test': 35, 'deepzono': 0.04, 'deepcegar': 0.043}
{'test': 36, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 37, 'deepzono': 0.018, 'deepcegar': 0.026}
{'test': 38, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 39, 'deepzono': 0.017, 'deepcegar': 0.023}
{'test': 40, 'deepzono': 0.014, 'deepcegar': 0.018}
{'test': 41, 'deepzono': 0.016, 'deepcegar': 0.017}
{'test': 42, 'deepzono': 0.005, 'deepcegar': 0.005}
{'test': 43, 'deepzono': 0.015, 'deepcegar': 0.017}
{'test': 44, 'deepzono': 0.015, 'deepcegar': 0.016}
{'test': 45, 'deepzono': 0.02, 'deepcegar': 0.02}
{'test': 46, 'deepzono': 0.007, 'deepcegar': 0.007}
{'test': 47, 'deepzono': 0.03, 'deepcegar': 0.031}
{'test': 48, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 49, 'deepzono': 0.02, 'deepcegar': 0.02}
{'test': 50, 'deepzono': 0.018, 'deepcegar': 0.023}
{'test': 51, 'deepzono': 0.028, 'deepcegar': 0.033}
{'test': 52, 'deepzono': 0.018, 'deepcegar': 0.02}
