# model:../../TestNets/pldi/large/mnist_relu_3_200.tf
# start time:2020-09-09 22:44:54
# end time:2020-09-09 22:49:38
{'test': 0, 'deepzono': 0.019, 'deepcegar': 0.019}
{'test': 1, 'deepzono': 0.025, 'deepcegar': 0.025}
# model:../../TestNets/pldi/large/mnist_relu_3_200.tf
# start time:2020-09-09 22:47:31
# end time:2020-09-09 22:52:17
{'test': 2, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 3, 'deepzono': 0.025, 'deepcegar': 0.025}
# model:../../TestNets/pldi/large/mnist_relu_3_200.tf
# start time:2020-09-09 21:53:43
# end time:2020-09-09 21:59:59
{'test': 4, 'deepzono': 0.008, 'deepcegar': 0.008}
{'test': 5, 'deepzono': 0.015, 'deepcegar': 0.015}
# model:../../TestNets/pldi/large/mnist_relu_3_200.tf
# start time:2020-09-09 21:53:43
# end time:2020-09-09 21:59:59
{'test': 6, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 7, 'deepzono': 0.015, 'deepcegar': 0.015}
# model:../../TestNets/pldi/large/mnist_relu_3_200.tf
# start time:2020-09-09 21:53:43
# end time:2020-09-09 21:57:34
{'test': 8, 'deepzono': 0.0, 'deepcegar': 0.0}
{'test': 9, 'deepzono': 0.021, 'deepcegar': 0.021}
# model:../../TestNets/pldi/large/mnist_relu_3_200.tf
# start time:2020-09-09 21:53:43
# end time:2020-09-09 21:59:51
{'test': 10, 'deepzono': 0.03, 'deepcegar': 0.03}
{'test': 11, 'deepzono': 0.024, 'deepcegar': 0.024}
# model:../../TestNets/pldi/mnist_relu_3_200.tf
# start time:2020-09-10 09:13:45
# end time:2020-09-10 09:19:03
{'test': 12, 'deepzono': 0.02, 'deepcegar': 0.02}
{'test': 13, 'deepzono': 0.026, 'deepcegar': 0.026}
# model:../../TestNets/pldi/large/mnist_relu_3_200.tf
# start time:2020-09-09 22:50:58
# end time:2020-09-09 22:55:54
{'test': 14, 'deepzono': 0.021, 'deepcegar': 0.021}
{'test': 15, 'deepzono': 0.015, 'deepcegar': 0.015}
# model:../../TestNets/pldi/large/mnist_relu_3_200.tf
# start time:2020-09-09 21:53:43
# end time:2020-09-09 21:59:46
