# model:../../TestNets/pldi/mnist_relu_5_100.tf
# start time:2020-09-10 08:52:48
# end time:2020-09-10 08:59:01
{'test': 0, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 1, 'deepzono': 0.02, 'deepcegar': 0.02}
# model:../../TestNets/pldi/mnist_relu_5_100.tf
# start time:2020-09-10 08:52:48
# end time:2020-09-10 09:01:33
{'test': 2, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 3, 'deepzono': 0.02, 'deepcegar': 0.021}
# model:../../TestNets/pldi/mnist_relu_5_100.tf
# start time:2020-09-10 09:14:06
# end time:2020-09-10 09:19:16
{'test': 4, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 5, 'deepzono': 0.011, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_5_100.tf
# start time:2020-09-10 09:55:27
# end time:2020-09-10 10:00:52
{'test': 6, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 7, 'deepzono': 0.007, 'deepcegar': 0.007}
# model:../../TestNets/pldi/mnist_relu_5_100.tf
# start time:2020-09-10 09:14:11
# end time:2020-09-10 09:19:14
{'test': 8, 'deepzono': 0.005, 'deepcegar': 0.005}
{'test': 9, 'deepzono': 0.018, 'deepcegar': 0.018}
# model:../../TestNets/pldi/mnist_relu_5_100.tf
# start time:2020-09-10 08:52:48
# end time:2020-09-10 09:02:20
{'test': 10, 'deepzono': 0.025, 'deepcegar': 0.025}
{'test': 11, 'deepzono': 0.015, 'deepcegar': 0.016}
# model:../../TestNets/pldi/mnist_relu_5_100.tf
# start time:2020-09-10 08:52:48
# end time:2020-09-10 09:01:49
{'test': 12, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 13, 'deepzono': 0.022, 'deepcegar': 0.023}
# model:../../TestNets/pldi/mnist_relu_5_100.tf
# start time:2020-09-10 08:52:48
# end time:2020-09-10 08:58:54
{'test': 14, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 15, 'deepzono': 0.013, 'deepcegar': 0.013}
# model:../../TestNets/pldi/mnist_relu_5_100.tf
# start time:2020-09-10 09:55:30
# end time:2020-09-10 10:08:26
{'test': 16, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 17, 'deepzono': 0.013, 'deepcegar': 0.014}
# model:../../TestNets/pldi/mnist_relu_5_100.tf
# start time:2020-09-10 08:52:48
# end time:2020-09-10 09:02:28
{'test': 18, 'deepzono': 0.009, 'deepcegar': 0.01}
{'test': 19, 'deepzono': 0.016, 'deepcegar': 0.016}
# model:../../TestNets/pldi/mnist_relu_5_100.tf
# start time:2020-09-10 16:19:44
# end time:2020-09-10 16:28:20
{'test': 20, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 21, 'deepzono': 0.014, 'deepcegar': 0.014}
# model:../../TestNets/pldi/mnist_relu_5_100.tf
# start time:2020-09-10 16:19:44
# end time:2020-09-10 16:28:28
{'test': 22, 'deepzono': 0.015, 'deepcegar': 0.015}
{'test': 23, 'deepzono': 0.017, 'deepcegar': 0.017}
# model:../../TestNets/pldi/mnist_relu_5_100.tf
# start time:2020-09-10 16:19:44
# end time:2020-09-10 16:28:20
{'test': 24, 'deepzono': 0.007, 'deepcegar': 0.007}
{'test': 25, 'deepzono': 0.035, 'deepcegar': 0.035}
# model:../../TestNets/pldi/mnist_relu_5_100.tf
# start time:2020-09-10 16:19:44
# end time:2020-09-10 16:31:53
{'test': 26, 'deepzono': 0.011, 'deepcegar': 0.012}
{'test': 27, 'deepzono': 0.02, 'deepcegar': 0.02}
# model:../../TestNets/pldi/mnist_relu_5_100.tf
# start time:2020-09-10 17:06:09
# end time:2020-09-10 17:14:33
{'test': 28, 'deepzono': 0.024, 'deepcegar': 0.024}
{'test': 29, 'deepzono': 0.008, 'deepcegar': 0.009}
# model:../../TestNets/pldi/mnist_relu_5_100.tf
# start time:2020-09-10 16:19:44
# end time:2020-09-10 16:28:24
{'test': 30, 'deepzono': 0.021, 'deepcegar': 0.021}
{'test': 31, 'deepzono': 0.008, 'deepcegar': 0.008}
# model:../../TestNets/pldi/mnist_relu_5_100.tf
# start time:2020-09-10 17:06:09
# end time:2020-09-10 17:12:27
{'test': 32, 'deepzono': 0.021, 'deepcegar': 0.021}
{'test': 33, 'deepzono': 0.005, 'deepcegar': 0.005}
# model:../../TestNets/pldi/mnist_relu_5_100.tf
# start time:2020-09-10 19:32:20
# end time:2020-09-10 19:40:39
{'test': 34, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 35, 'deepzono': 0.023, 'deepcegar': 0.023}
# model:../../TestNets/pldi/mnist_relu_5_100.tf
# start time:2020-09-10 16:19:44
# end time:2020-09-10 16:31:45
{'test': 36, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 37, 'deepzono': 0.01, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_5_100.tf
# start time:2020-09-10 17:06:30
# end time:2020-09-10 17:12:57
{'test': 38, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 39, 'deepzono': 0.012, 'deepcegar': 0.012}
# model:../../TestNets/pldi/mnist_relu_5_100.tf
# start time:2020-09-10 23:47:14
# end time:2020-09-10 23:58:32
{'test': 40, 'deepzono': 0.006, 'deepcegar': 0.007}
{'test': 41, 'deepzono': 0.011, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_5_100.tf
# start time:2020-09-11 08:23:01
# end time:2020-09-11 08:31:08
{'test': 42, 'deepzono': 0.011, 'deepcegar': 0.012}
{'test': 43, 'deepzono': 0.01, 'deepcegar': 0.01}
# model:../../TestNets/pldi/mnist_relu_5_100.tf
# start time:2020-09-10 23:47:14
# end time:2020-09-11 00:00:30
{'test': 44, 'deepzono': 0.014, 'deepcegar': 0.014}
