# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-10 10:56:28
# end time:2020-09-10 11:05:22
{'test': 0, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 1, 'deepzono': 0.02, 'deepcegar': 0.021}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-10 12:58:34
# end time:2020-09-10 13:04:24
{'test': 2, 'deepzono': 0.007, 'deepcegar': 0.007}
{'test': 3, 'deepzono': 0.019, 'deepcegar': 0.019}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-10 11:09:33
# end time:2020-09-10 11:17:20
{'test': 4, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 5, 'deepzono': 0.009, 'deepcegar': 0.009}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-10 12:51:57
# end time:2020-09-10 12:57:15
{'test': 6, 'deepzono': 0.008, 'deepcegar': 0.008}
{'test': 7, 'deepzono': 0.011, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-10 11:09:33
# end time:2020-09-10 11:16:56
{'test': 8, 'deepzono': 0.006, 'deepcegar': 0.006}
{'test': 9, 'deepzono': 0.018, 'deepcegar': 0.018}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-10 12:58:46
# end time:2020-09-10 13:04:40
{'test': 10, 'deepzono': 0.024, 'deepcegar': 0.024}
{'test': 11, 'deepzono': 0.016, 'deepcegar': 0.016}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-10 12:58:50
# end time:2020-09-10 13:04:54
{'test': 12, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 13, 'deepzono': 0.017, 'deepcegar': 0.017}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-10 11:07:21
# end time:2020-09-10 11:16:34
{'test': 14, 'deepzono': 0.015, 'deepcegar': 0.016}
{'test': 15, 'deepzono': 0.012, 'deepcegar': 0.012}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-10 12:58:57
# end time:2020-09-10 13:04:56
{'test': 16, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 17, 'deepzono': 0.013, 'deepcegar': 0.013}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-10 12:10:15
# end time:2020-09-10 12:16:26
{'test': 18, 'deepzono': 0.005, 'deepcegar': 0.005}
{'test': 19, 'deepzono': 0.015, 'deepcegar': 0.015}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-10 22:30:47
# end time:2020-09-10 22:36:38
{'test': 20, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 21, 'deepzono': 0.008, 'deepcegar': 0.008}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-10 17:25:55
# end time:2020-09-10 17:33:38
{'test': 22, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 23, 'deepzono': 0.016, 'deepcegar': 0.016}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-10 22:30:53
# end time:2020-09-10 22:36:48
{'test': 24, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 25, 'deepzono': 0.023, 'deepcegar': 0.023}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-10 16:39:10
# end time:2020-09-10 16:51:01
{'test': 26, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 27, 'deepzono': 0.021, 'deepcegar': 0.021}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-10 16:39:10
# end time:2020-09-10 16:51:12
{'test': 28, 'deepzono': 0.02, 'deepcegar': 0.02}
{'test': 29, 'deepzono': 0.014, 'deepcegar': 0.014}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-10 22:55:21
# end time:2020-09-10 23:00:42
{'test': 30, 'deepzono': 0.027, 'deepcegar': 0.027}
{'test': 31, 'deepzono': 0.012, 'deepcegar': 0.012}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-10 16:39:10
# end time:2020-09-10 16:51:00
{'test': 32, 'deepzono': 0.02, 'deepcegar': 0.02}
{'test': 33, 'deepzono': 0.011, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-10 16:39:10
# end time:2020-09-10 16:50:59
{'test': 34, 'deepzono': 0.015, 'deepcegar': 0.015}
{'test': 35, 'deepzono': 0.02, 'deepcegar': 0.02}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-10 17:25:55
# end time:2020-09-10 17:33:36
{'test': 36, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 37, 'deepzono': 0.014, 'deepcegar': 0.014}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-10 16:39:10
# end time:2020-09-10 16:50:54
{'test': 38, 'deepzono': 0.005, 'deepcegar': 0.005}
{'test': 39, 'deepzono': 0.013, 'deepcegar': 0.013}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-11 10:40:38
# end time:2020-09-11 10:50:04
{'test': 40, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 41, 'deepzono': 0.008, 'deepcegar': 0.008}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-11 10:40:38
# end time:2020-09-11 10:49:43
{'test': 42, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 43, 'deepzono': 0.005, 'deepcegar': 0.005}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-11 09:37:12
# end time:2020-09-11 09:53:45
{'test': 44, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 45, 'deepzono': 0.011, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-11 18:44:13
# end time:2020-09-11 18:49:24
{'test': 46, 'deepzono': 0.015, 'deepcegar': 0.015}
{'test': 47, 'deepzono': 0.009, 'deepcegar': 0.009}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-11 09:37:12
# end time:2020-09-11 09:53:46
{'test': 48, 'deepzono': 0.021, 'deepcegar': 0.021}
{'test': 49, 'deepzono': 0.011, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-11 09:37:12
# end time:2020-09-11 09:57:10
{'test': 50, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 51, 'deepzono': 0.021, 'deepcegar': 0.022}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-11 09:37:12
# end time:2020-09-11 09:53:57
{'test': 52, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 53, 'deepzono': 0.012, 'deepcegar': 0.012}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-11 18:04:33
# end time:2020-09-11 18:10:40
{'test': 54, 'deepzono': 0.024, 'deepcegar': 0.024}
{'test': 55, 'deepzono': 0.016, 'deepcegar': 0.016}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-11 19:46:19
# end time:2020-09-11 19:51:21
{'test': 56, 'deepzono': 0.021, 'deepcegar': 0.021}
{'test': 57, 'deepzono': 0.007, 'deepcegar': 0.007}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-11 09:37:12
# end time:2020-09-11 09:53:54
{'test': 58, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 59, 'deepzono': 0.007, 'deepcegar': 0.007}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-12 23:06:22
# end time:2020-09-12 23:31:00
{'test': 60, 'deepzono': 0.029, 'deepcegar': 0.029}
{'test': 61, 'deepzono': 0.008, 'deepcegar': 0.009}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-13 23:28:50
# end time:2020-09-13 23:39:20
{'test': 62, 'deepzono': 0.007, 'deepcegar': 0.007}
{'test': 63, 'deepzono': 0.015, 'deepcegar': 0.016}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-14 00:16:32
# end time:2020-09-14 00:22:04
{'test': 64, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 65, 'deepzono': 0.007, 'deepcegar': 0.007}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-12 23:06:22
# end time:2020-09-12 23:24:10
{'test': 66, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 67, 'deepzono': 0.012, 'deepcegar': 0.013}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-12 23:06:22
# end time:2020-09-12 23:24:28
{'test': 68, 'deepzono': 0.027, 'deepcegar': 0.027}
{'test': 69, 'deepzono': 0.025, 'deepcegar': 0.026}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-13 23:56:38
# end time:2020-09-14 00:01:58
{'test': 70, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 71, 'deepzono': 0.037, 'deepcegar': 0.037}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-12 23:06:22
# end time:2020-09-12 23:22:28
{'test': 72, 'deepzono': 0.019, 'deepcegar': 0.019}
{'test': 73, 'deepzono': 0.011, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-12 23:06:22
# end time:2020-09-12 23:22:49
{'test': 74, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 75, 'deepzono': 0.012, 'deepcegar': 0.012}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-12 23:06:22
# end time:2020-09-12 23:24:07
{'test': 76, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 77, 'deepzono': 0.01, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-14 00:16:41
# end time:2020-09-14 00:29:37
{'test': 78, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 79, 'deepzono': 0.017, 'deepcegar': 0.017}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-12 10:44:54
# end time:2020-09-12 11:03:58
{'test': 80, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 81, 'deepzono': 0.014, 'deepcegar': 0.014}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-13 13:55:25
# end time:2020-09-13 14:00:59
{'test': 82, 'deepzono': 0.023, 'deepcegar': 0.024}
{'test': 83, 'deepzono': 0.016, 'deepcegar': 0.016}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-13 23:57:14
# end time:2020-09-14 00:04:07
{'test': 84, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 85, 'deepzono': 0.02, 'deepcegar': 0.021}
# model:../../TestNets/pldi/mnist_relu_6_200.tf
# start time:2020-09-12 10:44:55
# end time:2020-09-12 11:01:09
