# model name: mnist_relu_5_70.tf
# from  test: 0
# num  tests: 100
# start time: 2020-11-18 11:02:33
# end   time: 2020-11-18 13:43:53
{'test': 0, 'deepzono': 0.012, 'deepinput': 0.013}
{'test': 1, 'deepzono': 0.019, 'deepinput': 0.019}
{'test': 2, 'deepzono': 0.008, 'deepinput': 0.008}
{'test': 3, 'deepzono': 0.015, 'deepinput': 0.016}
{'test': 4, 'deepzono': 0.013, 'deepinput': 0.013}
{'test': 5, 'deepzono': 0.011, 'deepinput': 0.011}
{'test': 6, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 7, 'deepzono': 0.015, 'deepinput': 0.015}
{'test': 8, 'deepzono': 0.005, 'deepinput': 0.005}
{'test': 9, 'deepzono': 0.014, 'deepinput': 0.014}
{'test': 10, 'deepzono': 0.017, 'deepinput': 0.017}
{'test': 11, 'deepzono': 0.015, 'deepinput': 0.015}
{'test': 12, 'deepzono': 0.014, 'deepinput': 0.014}
{'test': 13, 'deepzono': 0.019, 'deepinput': 0.02}
{'test': 14, 'deepzono': 0.014, 'deepinput': 0.014}
{'test': 15, 'deepzono': 0.01, 'deepinput': 0.01}
{'test': 16, 'deepzono': 0.012, 'deepinput': 0.012}
{'test': 17, 'deepzono': 0.013, 'deepinput': 0.013}
{'test': 18, 'deepzono': 0.009, 'deepinput': 0.009}
{'test': 19, 'deepzono': 0.014, 'deepinput': 0.015}
{'test': 20, 'deepzono': 0.003, 'deepinput': 0.003}
{'test': 21, 'deepzono': 0.012, 'deepinput': 0.012}
{'test': 22, 'deepzono': 0.011, 'deepinput': 0.011}
{'test': 23, 'deepzono': 0.018, 'deepinput': 0.018}
{'test': 24, 'deepzono': 0.008, 'deepinput': 0.008}
{'test': 25, 'deepzono': 0.029, 'deepinput': 0.029}
{'test': 26, 'deepzono': 0.013, 'deepinput': 0.013}
{'test': 27, 'deepzono': 0.018, 'deepinput': 0.018}
{'test': 28, 'deepzono': 0.018, 'deepinput': 0.018}
{'test': 29, 'deepzono': 0.009, 'deepinput': 0.009}
{'test': 30, 'deepzono': 0.021, 'deepinput': 0.021}
{'test': 31, 'deepzono': 0.007, 'deepinput': 0.007}
{'test': 32, 'deepzono': 0.021, 'deepinput': 0.021}
{'test': 33, 'deepzono': 0.018, 'deepinput': 0.018}
{'test': 34, 'deepzono': 0.013, 'deepinput': 0.013}
{'test': 35, 'deepzono': 0.017, 'deepinput': 0.017}
{'test': 36, 'deepzono': 0.008, 'deepinput': 0.008}
{'test': 37, 'deepzono': 0.01, 'deepinput': 0.01}
{'test': 38, 'deepzono': 0.004, 'deepinput': 0.004}
{'test': 39, 'deepzono': 0.012, 'deepinput': 0.012}
{'test': 40, 'deepzono': 0.008, 'deepinput': 0.008}
{'test': 41, 'deepzono': 0.012, 'deepinput': 0.012}
{'test': 42, 'deepzono': 0.018, 'deepinput': 0.018}
{'test': 43, 'deepzono': 0.005, 'deepinput': 0.005}
{'test': 44, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 45, 'deepzono': 0.014, 'deepinput': 0.014}
{'test': 46, 'deepzono': 0.007, 'deepinput': 0.007}
{'test': 47, 'deepzono': 0.017, 'deepinput': 0.017}
{'test': 48, 'deepzono': 0.018, 'deepinput': 0.018}
{'test': 49, 'deepzono': 0.018, 'deepinput': 0.018}
{'test': 50, 'deepzono': 0.01, 'deepinput': 0.01}
{'test': 51, 'deepzono': 0.022, 'deepinput': 0.022}
{'test': 52, 'deepzono': 0.012, 'deepinput': 0.012}
{'test': 53, 'deepzono': 0.009, 'deepinput': 0.01}
{'test': 54, 'deepzono': 0.019, 'deepinput': 0.019}
{'test': 55, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 56, 'deepzono': 0.021, 'deepinput': 0.021}
{'test': 57, 'deepzono': 0.01, 'deepinput': 0.01}
{'test': 58, 'deepzono': 0.014, 'deepinput': 0.015}
{'test': 59, 'deepzono': 0.01, 'deepinput': 0.01}
{'test': 60, 'deepzono': 0.022, 'deepinput': 0.022}
{'test': 61, 'deepzono': 0.0, 'deepinput': 0.0}
{'test': 62, 'deepzono': 0.005, 'deepinput': 0.005}
{'test': 63, 'deepzono': 0.011, 'deepinput': 0.011}
{'test': 64, 'deepzono': 0.019, 'deepinput': 0.019}
{'test': 65, 'deepzono': 0.004, 'deepinput': 0.004}
{'test': 66, 'deepzono': 0.01, 'deepinput': 0.011}
{'test': 67, 'deepzono': 0.017, 'deepinput': 0.017}
{'test': 68, 'deepzono': 0.024, 'deepinput': 0.024}
{'test': 69, 'deepzono': 0.019, 'deepinput': 0.019}
{'test': 70, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 71, 'deepzono': 0.024, 'deepinput': 0.024}
{'test': 72, 'deepzono': 0.01, 'deepinput': 0.01}
{'test': 73, 'deepzono': 0.008, 'deepinput': 0.008}
{'test': 74, 'deepzono': 0.009, 'deepinput': 0.009}
{'test': 75, 'deepzono': 0.017, 'deepinput': 0.017}
{'test': 76, 'deepzono': 0.017, 'deepinput': 0.017}
{'test': 77, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 78, 'deepzono': 0.007, 'deepinput': 0.007}
{'test': 79, 'deepzono': 0.014, 'deepinput': 0.014}
{'test': 80, 'deepzono': 0.012, 'deepinput': 0.012}
{'test': 81, 'deepzono': 0.012, 'deepinput': 0.012}
{'test': 82, 'deepzono': 0.029, 'deepinput': 0.029}
{'test': 83, 'deepzono': 0.013, 'deepinput': 0.013}
{'test': 84, 'deepzono': 0.012, 'deepinput': 0.012}
{'test': 85, 'deepzono': 0.023, 'deepinput': 0.023}
{'test': 86, 'deepzono': 0.014, 'deepinput': 0.015}
{'test': 87, 'deepzono': 0.018, 'deepinput': 0.018}
{'test': 88, 'deepzono': 0.022, 'deepinput': 0.022}
{'test': 89, 'deepzono': 0.01, 'deepinput': 0.01}
{'test': 90, 'deepzono': 0.017, 'deepinput': 0.017}
{'test': 91, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 92, 'deepzono': 0.005, 'deepinput': 0.005}
{'test': 93, 'deepzono': 0.015, 'deepinput': 0.015}
{'test': 94, 'deepzono': 0.012, 'deepinput': 0.013}
{'test': 95, 'deepzono': 0.015, 'deepinput': 0.015}
{'test': 96, 'deepzono': 0.001, 'deepinput': 0.001}
{'test': 97, 'deepzono': 0.013, 'deepinput': 0.013}
{'test': 98, 'deepzono': 0.012, 'deepinput': 0.012}
{'test': 99, 'deepzono': 0.023, 'deepinput': 0.023}
